186,同志,5334,0.0558,38.6576
187,者,5323,0.0557,38.7133
188,比,5314,0.0556,38.7689
189,话,5293,0.0554,38.8243
190,艺术,5266,0.0551,38.8794
191,一样,5265,0.0551,38.9345
192,前,5252,0.055,38.9895
193,起,5244,0.0549,39.0444
194,工业,5190,0.0543,39.0987
195,一切,5156,0.054,39.1527
196,开始,5137,0.0538,39.2065
197,呀,5124,0.0536,39.2601
198,见,5118,0.0536,39.3137
199,可能,5116,0.0535,39.3672
200,之间,5115,0.0535,39.4207
201,这里,5099,0.0534,39.4741
202,还有,5091,0.0533,39.5274
203,地方,5081,0.0532,39.5806
204,你们,5072,0.0531,39.6337
205,形式,5053,0.0529,39.6866
206,运动,5052,0.0529,39.7395
207,政治,5015,0.0525,39.792
208,听,5009,0.0524,39.8444
209,日,4990,0.0522,39.8966
210,五,4931,0.0516,39.9482
211,以及,4884,0.0511,39.9993
212,存在,4881,0.0511,40.0504
213,提高,4868,0.0509,40.1013
214,劳动,4863,0.0509,40.1522
215,问,4801,0.0502,40.2024
216,将,4791,0.0501,40.2525
217,结构,4790,0.0501,40.3026
218,成为,4790,0.0501,40.3527
219,语言,4783,0.0501,40.4028
220,发现,4777,0.05,40.4528
221,天,4748,0.0497,40.5025
222,每,4744,0.0496,40.5521
223,理论,4734,0.0495,40.6016
224,性,4692,0.0491,40.6507
225,外,4685,0.049,40.6997
226,打,4680,0.049,40.7487
227,谁,4635,0.0485,40.7972
228,没有,4620,0.0483,40.8455
229,历史,4616,0.0483,40.8938
230,学习,4613,0.0483,40.9421
231,地区,4592,0.0481,40.9902
232,第一,4590,0.048,41.0382
233,根据,4588,0.048,41.0862
234,让,4578,0.0479,41.1341
235,教育,4569,0.0478,41.1819
236,没,4525,0.0474,41.2293
237,活动,4510,0.0472,41.2765
238,作为,4508,0.0472,41.3237
239,家,4486,0.0469,41.3706
240,现象,4486,0.0469,41.4175
241,将,4479,0.0469,41.4644
242,即,4475,0.0468,41.5112
243,要求,4471,0.0468,41.558
244,东西,4464,0.0467,41.6047
245,孩子,4459,0.0467,41.6514
246,变化,4457,0.0466,41.698
247,真,4435,0.0464,41.7444
248,多,4429,0.0463,41.7907
249,例如,4427,0.0463,41.837
